streetName	City	State		Day	Weather	vehicleCollision			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
COUNTRY CLUB RD               	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD               	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
COUNTRY CLUB RD               	Tucson	Arizona		DARK-NOT LIGHTED                                       	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB BL               	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S COUNTRY CLUB RD             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N COUNTRY CLUB RD             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
BROADWAY BL                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DUSK                                                   	CLOUDY                                                 	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	RAIN                                                   	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BLVD               	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N COUNTRY CLUB RD             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB                  	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY                    	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BLVD                 	Tucson	Arizona		DARK-LIGHTED                                           	SLEET / HAIL (FREEZING RAIN / DRIZZLE)                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DUSK                                                   	CLOUDY                                                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
BROADWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N COUNTRY CLUB RD             	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
COUNTRY CLUB RD N             	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E BROADWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N ORACLE RD                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N ORACLE RD                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
W MIRACLE MILE                	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
ORACLE RD                     	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
N ORACLE RD                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
ORACLE RD                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
ORACLE RD                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
CALLE SANTA CRUZ              	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S CALLE SANTA CRUZ            	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
DREXEL RD                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
